HA/JHA/SWAS02,Swastik Hospital,,514 & 518 Shakti Nagar Main Jhajjar Road,Bahadurgarh,13-Jan-23,
HA/REW/OM H03,Om Hospital,,"Nrp Bass Road, Dharuhera",Dharuhera,13-Jan-23,
MA/BHO/CITI01,Citi Hospital,,"115, Zone-Ii, M.P. Nagar, Behind Pragati Petrol",Bhopal,13-Jan-23,
HA/REW/SUSH01,Sushma Devi Hospital,,Near Power House And Bharat Petol Pump,Rewari,13-Jan-23,
UT/MAT/CITY12429,City Super Speciality Hospital,,"Mmi Squar, Opp. Jain Chaurasi Mandir, Near",Mathura,13-Jan-23,
DE/DEL/KARU9716,Karuna Hospital,,"D-62, Dilshad Colony",New Delhi,13-Jan-23,
DE/SOU/R R 02,R R Hospital,,Jai Vihar Phase 3 Near Shanti Ideal Public,New Delhi,13-Jan-23,
MA/KHA/GURJ1358,Gurjar Shri Hospita,,552/140 Behind Civil Hospital Jawahrr Marg,Sanawad,13-Jan-23,
TE/MAL/MAAX01,Maax Life Hospital,,Plot No A/529 Opp Mega Foundation Hall,Hyderabad,13-Jan-23,
MA/NAG/AROG01,Arogyam Superspeciality Hosital,,"34, Sita Nagar, Wardhs Road",Nagpur,13-Jan-23,
MA/THA/MAHA964,Mahavir Hospital,,"G / 1 To 4 / Shivaleen Building, Opposite",Bhayandar,13-Jan-23,
MA/NAG/MEDI03,Meditrina Institute Of Medical,,"278, Central Bazar Road, Ramdaspeth",Nagpur,13-Jan-23,
MA/NAS/SUDA107,Sudarshan Hospital,,"City Plaza, Opp. Kalika Mandir, Old Agra Road",Nashik,13-Jan-23,
MA/PUN/SPAR250,Sparsh Hospital,,Sr No 353 Emerald Building Parandwadi Road,Pune,13-Jan-23,
GU/SUR/SUDE01,Sudeep Hospital And Maternity,,"Ratan Sagar Apt., Near Varachha New Police",Surat,13-Jan-23,
Hospital Code,Hospital Name,Hospital Address,,City,Effective,
UT/VAR/PANA2257,Panacea Hospital,"Aaroha Healthcare (P) Ltd, B 36/44 F-K",,Varanasi,13-Jan-23,
UT/MEE/NAVJ01,Navjeevan Hospital,447/1 Mangal Pandey Nagar,,Meerut,13-Jan-23,
UT/KAN/LIFE02,Lifetron Hospital,"O/Pr-2, Sec-O Awas Vikas Keshavpuram",,Kanpur,13-Jan-23,
UT/UDH/AYUS01,Ayushman Multispeciality Hospital,Opp Kakku Tyre Shop Moradbad Road Near,,Kashipur,13-Jan-23,
DE/DEL/TYAG02,Tyagi Nursing Home Pvt. Ltd.,"66/3 And 66/4, Ashok Nagar",,New Delhi,13-Jan-23,
DE/WES/MEDS01,Medstar Hospital,A345 Paschim Vihar,,New Delhi,13-Jan-23,
HA/JHA/AAYU01,Aayushman Multispeciality Hospital,"Main Chowk, Jhajjar Road, Vpo Dighal",,Beri,13-Jan-23,
HA/ROH/DEEP02,Deepanjali Multispeciality Hospital,"Gohana Road, Near New Bus Stand, Meham,",,Meham,13-Jan-23,
WE/KOL/BANG01,Bangur Medicare Research,"8 A, D.H. Road, Thankurrpukur",,Kolkata,13-Jan-23,
WE/KOL/DILK01,Dilkusha Nursing Home Pvt. Ltd.,"94 A, Dilkusha Street",,Kolkata,13-Jan-23,
WE/KOL/LBNU01,L B Nursing Home,"204-A, A.P.C. Roada Shyam Bazar 5.Pt-",,Kolkata,13-Jan-23,
WE/KOL/MBNU01,M.B. Nursing Home Pvt. Ltd.,"55 B/1, Dilkhusa Street",,Kolkata,13-Jan-23,
WE/KOL/NEWL01,New Life Nursing Home,"Sahabagan, Jyangra, Rajarhat Road (Opp. Arti",,Kolkata,13-Jan-23,
WE/KOL/PHOE01,Phoenix Hospital And Diagnostic,"2, Motilal Colony Nirmal Senggupta Sarani",,Kolkata,13-Jan-23,
WE/KOL/PORT01,Port View Nursing Home Pvt Ltd,"7, Dr. Sudhir Basu Road 1",,Kolkata,13-Jan-23,
WE/KOL/ADIT02,Aditya Hospital,"965, Jessore Road",,Kolkata,13-Jan-23,
WE/KOL/RFLE01,R-Flemming Hospital (A Unit Of,"11A/1H, Topsia Road (East)",,Kolkata,13-Jan-23,
GU/GAN/LIFE01,Life Line Multispeciality Hospital,"Plot No. 72, Ward 7/B, Near Ima Blood Bank,",,Gandhidham,13-Jan-23,
GU/VAD/AMRU106,Amrut Multispeciality Hospital,"A/4, Bhagwati Park, Opp. Tube Company, Nr.",,Vadodara,13-Jan-23,
GU/SUR/VARD07,Vardan Hospital & Icu,"Shop No. 6,7,8,9, Mazenine, Orchid Towers,",,Surat,13-Jan-23,
